iteration,num.plants,plant.size,aim.sum,aim.count,aim.multiples,haf.sum,haf.count,haf.duplicates,plot.average,plot.max
88,Dense,Small,22.42296705,10,2,23.18163889,2,1,22.15013913,23.46814227
89,Dense,Small,22.69877529,9,0,23.31097261,4,0,22.08203187,23.43262734
90,Dense,Small,21.98334284,7,0,22.99003619,2,0,21.93177768,23.25665534
91,Dense,Small,22.87370013,7,0,23.58587102,2,1,22.14354292,23.45481274
92,Dense,Small,22.88138738,6,0,23.49333929,1,0,22.13161548,23.45371571
93,Dense,Small,22.78076772,7,0,24.94397724,1,0,22.2285107,23.55059037
94,Dense,Small,22.21650604,5,0,23.24140863,1,0,22.06811196,23.43235805
95,Dense,Small,21.82277091,11,0,22.95491445,4,0,22.0322866,23.33255909
96,Dense,Small,23.32718023,3,0,0,0,0,22.19130941,23.51005978
97,Dense,Small,22.53262525,13,0,23.56032489,3,0,22.03147151,23.34736988
98,Dense,Small,22.82178002,10,2,23.04767475,4,0,22.16856069,23.51659451
99,Dense,Small,22.69910749,8,0,22.58260014,1,0,22.1365149,23.44934979
100,Dense,Small,23.69264271,6,1,23.80644995,2,0,22.15874972,23.58976581
